Name,MJD,Fiber ID,Plate,Redshift,EBV,CIV Value of A from FE Subtraction,Error of CIV A,CIV Value of k from FE Subtraction,Error of CIV K,CIV Value of B from FE Subtraction,Error of CIV B,CIV Value of Mu from FE Subtraction,Error of CIV Mu,CIV Value of Sigma from FE Subtraction,Error of CIV Sigma,MgII Value of A from FE Subtraction,Error of MgII A,MgII Value of k from FE Subtraction,Error of MgII k,MgII Value of B from FE Subtraction,Error of MgII B,MgII Value of Mu from FE Subtraction,Error of MgII Mu,MgII Value of Sigma from Fe Subtraction,Error of MgII Sigma,MgII Mu Value from Gaussian Fitting,Error of MgII Mu from Gaussian Fitting,MgII Sigma Value from Gaussian Fitting,Error of MgII Sigma from Gaussian Fitting,MgII K Value from Gaussian Fitting,Error of MgII K from Gaussian Fitting,CIV Mu Value from Gaussian Fitting,Error of CIV Mu from Gaussian Fitting,CIV Sigma 1 Value from Gaussian Fitting,Error of CIV Sigma 1 from Gaussian Fitting,CIV K1 Value from Gaussian Fitting,Error of CIV K1 from Gaussian Fitting,CIV Sigma 2 Value from Gaussian Fitting,Error of CIV Sigma 2 from Gaussian Fitting,CIV K2 Value from Gaussian Fitting,Error of CIV K2 from Gaussian Fitting,CIV Sigma 3 Value from Gaussian Fitting,Error of CIV Sigma 3 from Gaussian Fitting,CIV K3 Value from Gaussian Fitting,Error of CIV K3 from Gaussian Fitting
380260561.0,55824.0,105.0,5202.0,2.505302667617798,0.03053814172744751,11.457306020074292,1002164.7064699307,-0.34751917981450275,137.79164673921193,12.213808576041474,0.5266847670293914,1554.0511759087358,350.2168304658989,900.1632609027938,1.082813936006158,9.746717946995341,5140.981420405796,-0.15705842310587537,0.8994076876970373,13.658868454016332,6252672654308863.0,2801.7904569410944,18438300714808.508,900.0000116640919,10679.07631818132,2795.4417436026724,0.0,0.4195490042232315,0.0,0.007515777689559827,0.0,1546.5926679761994,1.149523614893036,26.24666311766034,681554.737435269,1.5033229549036986,6851.860977579731,3560.58317645521,52158.95406798196,2.5044980707114277,0.019553457401389092,1.945208921027076,0.0,3.067858607651921,0.0
381575737.0,55824.0,106.0,5202.0,2.314513683319092,0.030431563034653664,3.764434585053479e-07,4.321034684796276e-11,1.9999952168328006,5.521804389835598,14.524137097616192,7162982.6002442045,1560.391158877959,3760.4131935873393,900.0000271745363,0.010024422764802317,9.504407542005218,1061.0430136431444,-0.2605712633620585,0.19569523048714707,13.326381095898006,0.0,2799.4056528302617,0.0,900.0000000398546,1.4907767245269857e-07,2793.037433252058,0.0,1.727785629716859,0.0,0.15115187162423382,0.0,1548.1577447150307,0.023670170079469855,3469.735963938073,55953.35281601129,0.986668857683475,0.005789406764846429,510.6795479756441,1358.9268285515338,2.412271331531727,0.01928091838008141,2.494611303585536,0.0,0.1006662098592393,0.0
380261193.0,55824.0,112.0,5202.0,1.8449846506118774,0.031340740621089935,99.99999999991476,5787022.043747104,-0.44198331860110895,10.42968532982584,12.572545714409996,0.5330230057870676,1571.80260090888,266.4967861731656,900.1288654775245,0.1777366814517602,9.315553019385884,29.243137412260126,-0.20114337775228522,0.005547833415993963,13.337957266565317,0.0,2797.2517353899448,0.0,900.0000016728338,0.0013689961565413321,2802.988092170835,0.8160619839008415,2533.0326751635084,9348.78091357843,1.708450507623762,0.0031893915875909856,1547.4301318318312,0.049251974638532627,590.7560814622481,17234.916033226324,1.5556095544023416,0.07572532886086178,1.6588139645952988,1.705788757952633e-27,205.58057861903765,0.0,3191.0809740320146,4482.997156083193,7.108140201321809,0.03399493343550991
383378062.0,55824.0,115.0,5202.0,2.1091420650482178,0.023699769750237465,99.9999978334067,3491964533.1973314,-0.575041053082024,6305.792917608077,11.856007022561352,86.86269438717449,1500.0000000000002,56524.64853804505,904.0504824542944,30606.906262832745,9.436866975295612,280.28609979581324,-0.277137199199812,0.05225601769103922,13.237229351309095,0.0,2797.4950661462085,0.0,900.000000021048,0.1546079851574835,2796.4253130804186,3437164314537003.0,5.089232932034982,4677587389813451.0,0.04863072193450632,3.7340866748913944e+16,1548.1494118724809,0.35654032228150456,21.33073426208082,123681572.69100434,0.20359552216205767,1221834.385362894,1.1583125794228182,2708401.630022333,0.2535786573139326,8877227.69392214,4191.035841041167,14519.507828450924,1.8642302455662105,0.002084710550404509
381052598.0,55824.0,118.0,5202.0,2.2910964488983154,0.030344415456056595,1.922202592852797e-05,1.1613928687843025e-07,1.447517859007847,5.696893757470081,14.493355230703386,834574.9363841662,1561.7493633237784,620.4985978587653,900.000030837336,0.002025038728357908,9.481658539906391,944.2090302625965,-0.2594963253812471,0.17476997045606132,13.334528666028023,3.004444820060917e-25,2799.250303506062,3.489528898330509e-19,900.0000011193175,1.6488535356357266e-08,2799.430903643565,21193069.236322682,7.07903822447378,111964275.38656706,0.11253315445759529,1030553061.0106809,1549.0613544318535,3355.8760675249227,18.882085536376817,28001976661.468044,2.783719498528909,7051697705.715194,18.882085383818026,28001977429.316364,2.7837195111893016,7051697051.240406,18.882086740723825,28001971334.655483,2.783719511995045,7051702286.873745
383625775.0,55824.0,152.0,5202.0,2.06356143951416,0.029939208179712296,0.02161471538899781,0.018707885627980755,0.6959349280682033,0.724384080883956,13.552879775235475,0.05181000424627788,1558.3973735755442,0.4527284588393211,900.0035860402537,1.827086584554404e-05,9.426654086685916,22.22828645831525,-0.2083840644713749,0.004125453993059796,13.272009890535033,740976863717228.8,2797.0269674092146,4572079219.787824,900.0000045654616,4.77795659809647e-06,2791.307471667599,3.3682354807692594,2118.664632840005,38909.10784855076,0.8173008641310938,0.00434240513244339,1548.0993018090235,0.12997060070200786,605.4098944148502,76907.08372607882,0.6623833542699262,0.05827020550280927,2.7318671390344567,2.5546488904948463e-25,4.339593036888611,0.0,3913.065007423564,9190.950210098894,4.997147709840611,0.01935459099582716
378323604.0,55824.0,180.0,5202.0,2.2315752506256104,0.030038876459002495,23.261270787739008,942366.272880245,-0.33524911125795215,31.410839650135507,12.126744976819344,2.005096758763983,1572.374937376565,2471.900363533776,900.2569255823231,1.247849122542863,1.4947698033549686,1.5862227974792846,0.015737776345621186,0.011803264601193502,13.332181730542652,77087356.92139092,2798.98583939694,412375.04559924355,900.0001067067792,2.2864617158191507,2797.0780832758187,0.5572788820443259,96.11062337546949,6410.708893654336,0.5992640470876202,0.18692218880146633,1551.6813032069601,0.2693130936996199,1.4129004967183214,1.2002820714497912e-24,57.98696793264097,1.2408543037032685e-28,1.1311182852590222,0.0,0.47712233611749993,0.0,1005.7597135469205,10066.993789587546,2.223998232592099,0.036917865406746825
381958117.0,55824.0,194.0,5202.0,2.432936429977417,0.02513745240867138,8.876828953514039,12952.039935224451,-0.3015129951330565,2.998803402791829,12.152233090872693,856.7623331429747,1557.224447106354,151.91688842000258,900.0001523651038,0.0006102280214631252,9.552793804702588,1797.2885813675564,-0.2988481429911777,0.3277460301144712,13.192465850176822,0.0,2800.3185661875723,0.0,900.0000006764659,9.336121976125973e-08,2798.763264850776,529.8371506504134,37.347364683983045,2788014.6409335146,0.03871487354228927,2.318722694020763,1548.2588310934232,0.06974355998753325,1655.4162479199845,2997.19782326514,2.152550901306594,0.004544062212250246,8.45701616971685,13534.424862769383,990.9620361117782,52094484821.1017,79.68839087957559,493878.1330637432,0.09164444458476136,2.387790406943645
381958234.0,55824.0,224.0,5202.0,2.3012192249298096,0.02699699066579342,8.64330303179348,16399.761256509424,-0.35732791634776023,3.971670700624671,13.555287261607381,1368227688.6228611,1568.6509229672324,35464158426559.97,900.0000098192356,0.007782428681890196,9.504638113792982,1479.5036321428665,-0.26812951752623976,0.2727061744693369,13.31242827163805,639493505227317.8,2799.3069013298473,9239019495373.564,900.0000545532597,972944.7978412498,2795.6852844446407,38874342.367292844,7.079123890160915,324549203.3699556,0.12774724226081163,2306622439.6685743,1548.9359325658636,1068129.5474208766,16.981433848850923,24433081595749.543,2.501141388966552,9392088929682.814,16.981433956846896,24433081534164.836,2.501141390247536,9392089985987.604,16.981433403075307,24433085344897.566,2.501141370390962,9392085466106.549
377911341.0,55824.0,295.0,5202.0,2.348802328109741,0.023537859320640564,99.99999999999736,14941435.258202394,-0.6917653468674017,27.04350027055885,12.585623668263697,0.05913098474210766,1545.2296922606558,4.204089043523216,900.0367978343331,0.00593399376982282,9.534617560400422,1332.3331311527754,-0.2670363217218764,0.24439423547728703,13.285527403301783,2688023527311050.5,2799.593972680173,47095209648.273575,900.0000055958968,20.868759724744052,2800.983400597701,0.013490466324969268,57.04794504958512,152.76710792114133,6.466323286785258,1.480170796435927,1547.817717575657,0.24175567703630663,9.916533227961132,91277333209.1966,273.0151137758388,1406246070.6352768,9.968593047922838,151371162490.3781,202.07998601824218,1404738058.215581,2852.579490945019,9218.506854757661,2.1924570808018644,0.00419782184826817
